id,zoneId,buildingId,name,type,manufacturer,model,serialNumber,installDate,warrantyExpiry,ratedPowerKw,operatingHours,maintenanceInterval,lastMaintenance,status,isActive
1,1,1,HVAC Unit - Executive 1,hvac,Carrier,WeatherMaker 48TC,WM48-2018-001,2018-06-15,2028-06-15,45.5,12580,2190,2024-10-15,online,true
2,1,1,HVAC Unit - Executive 2,hvac,Carrier,WeatherMaker 48TC,WM48-2018-002,2018-06-15,2028-06-15,45.5,12420,2190,2024-10-15,online,true
3,2,1,HVAC Unit - Finance 1,hvac,Trane,XL18i,TXL-2018-101,2018-07-10,2028-07-10,65.2,13200,2190,2024-11-01,online,true
4,2,1,HVAC Unit - Finance 2,hvac,Trane,XL18i,TXL-2018-102,2018-07-10,2028-07-10,65.2,13150,2190,2024-11-01,online,true
5,3,1,HVAC Unit - Marketing,hvac,Lennox,XC25,LXC-2018-201,2018-08-20,2028-08-20,52.8,11900,2190,2024-09-20,online,true
6,4,1,Precision Cooling Unit 1,precision_cooling,APC,InRow RC,APC-IRC-2018-301,2018-05-10,2028-05-10,38.6,28450,1095,2024-08-15,online,true
7,4,1,Precision Cooling Unit 2,precision_cooling,APC,InRow RC,APC-IRC-2018-302,2018-05-10,2028-05-10,38.6,28380,1095,2024-08-15,online,true
8,4,1,UPS System,ups,Eaton,9395,EAT-9395-2018-001,2018-05-01,2028-05-01,225.0,28800,365,2024-05-01,online,true
9,5,1,Main Lobby Lighting,lighting,Philips,LED Array,PHL-LED-2018-401,2018-06-01,2030-06-01,8.5,18250,4380,2024-06-01,online,true
10,5,1,Lobby HVAC,hvac,York,YK Centrifugal,YRK-YK-2018-402,2018-06-01,2028-06-01,85.3,15680,2190,2024-10-10,online,true
11,6,1,Kitchen Equipment Suite,kitchen,Vulcan,Commercial Package,VUL-COM-2018-501,2018-07-15,2026-07-15,125.5,8760,730,2024-07-15,online,true
12,6,1,Cafeteria HVAC,hvac,Daikin,VRV IV,DAI-VRV-2018-502,2018-07-15,2028-07-15,58.2,11250,2190,2024-09-15,online,true
13,6,1,Walk-in Refrigeration,refrigeration,Kolpak,QS6-2018-503,KOL-QS6-2018-503,2018-07-20,2030-07-20,18.5,28800,365,2024-10-01,online,true
14,7,1,Conference HVAC 1,hvac,Mitsubishi,City Multi,MIT-CM-2018-601,2018-08-01,2028-08-01,68.4,10250,2190,2024-08-01,online,true
15,7,1,AV Systems Suite,av_system,Crestron,Enterprise Package,CRE-ENT-2018-602,2018-08-15,2026-08-15,12.3,5460,1095,2024-08-15,online,true
16,8,1,Gym HVAC,hvac,Rheem,Commercial Package,RHE-COM-2018-701,2018-09-01,2028-09-01,42.5,12580,2190,2024-09-01,online,true
